#	Isochrone	Z = 0.00100		Age = 	6.310e+07 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.00	4.9591	4.938	3.359	3.701	1.52	-3.365	0.285	0.837	0.951	 BHeb     
	8.00	5.0860	5.048	3.542	3.975	2.44	-3.888	-0.133	-0.056	0.015	 Te-M     
	8.00	5.1414	5.096	3.531	3.692	1.33	-3.755	0.380	0.900	0.997	 EHeb     
	8.00	5.1498	5.087	4.453	3.621	0.12	-5.536	1.413	1.446	1.446	 Cb       
#	Isochrone	Z = 0.00100		Age = 	1.122e+08 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.05	4.1053	4.101	2.768	4.234	4.16	-0.529	-0.641	-0.168	-0.172	 TO       
	8.05	4.5659	4.559	3.040	4.212	3.85	-1.343	-0.614	-0.166	-0.161	 Te-m     
	8.05	4.6060	4.599	3.115	4.260	3.97	-1.250	-0.699	-0.184	-0.184	 Te-M     
	8.05	4.6138	4.607	3.193	4.055	3.07	-2.622	-0.319	-0.097	-0.058	 L-M      
	8.05	4.6178	4.611	3.050	3.721	1.88	-2.658	0.138	0.724	0.865	 RGBb     
	8.05	4.6209	4.613	3.318	3.692	1.50	-3.224	0.351	0.888	0.992	 RGBt     
	8.05	4.6871	4.667	3.271	3.704	1.60	-3.154	0.260	0.819	0.937	 BHeb     
	8.05	4.8054	4.770	3.458	3.961	2.45	-3.735	-0.080	-0.045	0.026	 Te-M     
	8.05	4.8563	4.814	3.445	3.694	1.40	-3.550	0.349	0.881	0.984	 EHeb     
	8.05	4.8640	4.805	4.380	3.623	0.18	-5.382	1.372	1.430	1.424	 1TP      
	8.05	4.8840	4.310	4.716	3.597	-0.31	-5.949	1.656	1.515	1.618	 AGBt
#	Isochrone	Z = 0.00100		Age = 	1.259e+08 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.10	3.8743	3.871	2.683	4.220	4.17	-0.398	-0.614	-0.163	-0.166	 TO       
	8.10	4.3056	4.299	2.951	4.198	3.86	-1.200	-0.588	-0.160	-0.154	 Te-m     
	8.10	4.3450	4.338	3.028	4.247	3.98	-1.107	-0.674	-0.177	-0.177	 Te-M     
	8.10	4.3526	4.346	3.102	4.050	3.12	-2.421	-0.303	-0.093	-0.056	 L-M      
	8.10	4.3568	4.350	2.956	3.724	1.96	-2.430	0.121	0.711	0.855	 RGBb     
	8.10	4.3600	4.353	3.233	3.694	1.57	-3.019	0.327	0.874	0.980	 RGBt     
	8.10	4.4287	4.410	3.182	3.707	1.67	-2.941	0.237	0.802	0.925	 BHeb     
	8.10	4.5439	4.510	3.374	3.946	2.45	-3.581	-0.023	-0.033	0.038	 Te-M     
	8.10	4.5930	4.553	3.363	3.696	1.46	-3.354	0.324	0.866	0.973	 EHeb     
	8.10	4.6001	4.547	4.176	3.636	0.41	-5.000	1.151	1.329	1.321	 1TP      
	8.10	4.6177	4.016	4.710	3.595	-0.34	-5.915	1.663	1.518	1.637	 AGBt
#	Isochrone	Z = 0.00100		Age = 	1.413e+08 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.15	3.6642	3.661	2.602	4.207	4.17	-0.277	-0.588	-0.158	-0.161	 TO       
	8.15	4.0593	4.054	2.862	4.185	3.87	-1.055	-0.563	-0.154	-0.145	 Te-m     
	8.15	4.0973	4.091	2.940	4.233	3.99	-0.962	-0.647	-0.172	-0.171	 Te-M     
	8.15	4.1046	4.098	3.011	4.045	3.17	-2.216	-0.287	-0.089	-0.053	 L-M      
	8.15	4.1090	4.103	2.862	3.726	2.04	-2.198	0.107	0.701	0.847	 RGBb     
	8.15	4.1121	4.105	3.148	3.696	1.63	-2.816	0.305	0.860	0.970	 RGBt     
	8.15	4.1813	4.164	3.092	3.709	1.75	-2.722	0.217	0.789	0.916	 BHeb     
	8.15	4.2978	4.266	3.291	3.933	2.46	-3.415	0.022	-0.017	0.054	 Te-M     
	8.15	4.3441	4.306	3.280	3.699	1.53	-3.158	0.300	0.851	0.961	 EHeb     
	8.15	4.3512	4.298	4.145	3.634	0.41	-4.913	1.168	1.337	1.328	 1TP      
	8.15	4.3671	3.690	4.703	3.592	-0.39	-5.872	1.673	1.521	1.661	 AGBt
#	Isochrone	Z = 0.00100		Age = 	1.585e+08 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.20	3.3506	3.348	2.448	4.194	4.24	0.030	-0.562	-0.150	-0.153	 TO       
	8.20	3.8362	3.831	2.776	4.171	3.88	-0.917	-0.538	-0.147	-0.137	 Te-m     
	8.20	3.8710	3.865	2.856	4.220	4.00	-0.830	-0.621	-0.166	-0.166	 Te-M     
	8.20	3.8775	3.872	2.922	4.042	3.22	-2.008	-0.276	-0.086	-0.051	 L-M      
	8.20	3.8818	3.876	2.770	3.728	2.11	-1.972	0.094	0.690	0.839	 RGBb     
	8.20	3.8849	3.878	3.067	3.698	1.70	-2.623	0.283	0.847	0.960	 RGBt     
	8.20	3.9509	3.934	3.002	3.711	1.82	-2.505	0.198	0.777	0.906	 BHeb     
	8.20	4.0653	4.035	3.209	3.921	2.47	-3.241	0.061	0.001	0.078	 Te-M     
	8.20	4.1088	4.072	3.197	3.701	1.60	-2.959	0.278	0.836	0.950	 EHeb     
	8.20	4.1162	4.059	4.227	3.624	0.26	-5.015	1.341	1.414	1.409	 1TP      
	8.20	4.1310	3.349	4.695	3.588	-0.43	-5.820	1.686	1.525	1.692	 AGBt
#	Isochrone	Z = 0.00100		Age = 	1.778e+08 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.25	3.1750	3.172	2.369	4.181	4.24	0.150	-0.539	-0.143	-0.143	 TO       
	8.25	3.6281	3.623	2.690	4.158	3.88	-0.784	-0.511	-0.139	-0.128	 Te-m     
	8.25	3.6619	3.656	2.774	4.207	4.00	-0.706	-0.596	-0.161	-0.161	 Te-M     
	8.25	3.6680	3.662	2.835	4.041	3.28	-1.798	-0.267	-0.084	-0.050	 L-M      
	8.25	3.6725	3.667	2.680	3.730	2.19	-1.751	0.081	0.679	0.831	 RGBb     
	8.25	3.6758	3.670	2.989	3.700	1.76	-2.436	0.263	0.834	0.950	 RGBt     
	8.25	3.7438	3.728	2.916	3.713	1.89	-2.298	0.177	0.764	0.897	 BHeb     
	8.25	3.8522	3.823	3.128	3.910	2.48	-3.064	0.093	0.023	0.109	 Te-M     
	8.25	3.8913	3.857	3.113	3.703	1.67	-2.756	0.256	0.820	0.939	 EHeb     
	8.25	3.8984	3.840	4.260	3.617	0.18	-5.021	1.438	1.447	1.462	 1TP      
	8.25	3.9110	2.716	4.667	3.585	-0.51	-5.725	1.696	1.529	1.717	 AGBt
#	Isochrone	Z = 0.00100		Age = 	1.995e+08 yr
